Symbol,전체 기간,Type,Mean,Std
KRW-POLYX,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0130134379982115,0.0052381352512092
KRW-HIVE,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.015546560767625,0.0070293373083028
KRW-HIVE,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0222250969045599,0.0099340850316335
KRW-ONT,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0168427832424176,0.0070073557460113
KRW-ONT,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0270732807434986,0.0119382726445324
KRW-SXP,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0128814323213503,0.0058949365592182
KRW-SXP,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0190036390327352,0.0099899035434752
KRW-STORJ,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0115010817198389,0.0046592203498641
KRW-STORJ,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.015584142659366,0.0069088765824637
KRW-SNT,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0121359542173251,0.0053932009894054
KRW-SNT,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0179361064872903,0.0087845214556547
KRW-LSK,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0149517182109573,0.0047449811917612
KRW-LSK,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0232918202432157,0.0078473040918855
KRW-CVC,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0116567549225492,0.0058963895820702
KRW-CVC,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0160506535107493,0.0089616641029032
KRW-POWR,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0121510913862064,0.0048447826157042
KRW-POWR,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0191805069275958,0.0088052272063881
KRW-IQ,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0116594298210284,0.0043844979914131
KRW-IQ,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0173319837641385,0.0085745494738157
KRW-IOST,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0167484121649127,0.0060484246680701
KRW-IOST,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0265300178569753,0.0089093836992065
KRW-STPT,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0142978435464273,0.0053238249468334
KRW-STPT,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0211572421468225,0.0077288308339997
KRW-STRAX,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0117562455559055,0.0042062938771948
KRW-STRAX,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0178587053192141,0.0065081857381382
KRW-ONG,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0126241920344338,0.0052979339296948
KRW-ONG,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.020228413431704,0.0092016476620121
KRW-PUNDIX,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.014090478533381,0.0053375170214704
KRW-PUNDIX,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0209103267396087,0.007904622082387
KRW-STEEM,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.015689289852857422,0.005610915295590296
KRW-STEEM,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.023794400126617956,0.008719074686688632
KRW-KNC,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.016006773973096088,0.005489550700942176
KRW-KNC,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.024499626875930866,0.00742097348640298
KRW-ARK,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.00970981256205785,0.004450335524737171
KRW-ARK,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.013320799232028816,0.007791091237980139
