Symbol,전체 기간,Digit Type,Mean,Std Dev
KRW-ANKR,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0217321836438658,0.0068217368363212
KRW-QTUM,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0114181665823261,0.0041559151635506
KRW-QTUM,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.018856589501363,0.0078563219989977
KRW-SC,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0086799040053326,0.003120955039761
KRW-SC,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.015183048356072,0.0055833789739327
KRW-GAS,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0087796675349054,0.0039838953182938
KRW-GAS,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0129910669575689,0.0066934395474278
KRW-GMT,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0107306460168788,0.0045077560875316
KRW-GMT,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0178841349917048,0.007466781116555
KRW-ELF,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0130797580178489,0.0053956865324502
KRW-ELF,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0206381911488243,0.0087188619869813
KRW-T,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0094115277644498,0.0031748144739958
KRW-T,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0158678183809,0.0059453489012742
KRW-MASK,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0126284302866762,0.0064958569763297
KRW-MASK,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.016826088767524,0.0087090743160814
KRW-POLYX,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0068141248902965,0.0025721698367795
KRW-POLYX,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0114195840108709,0.0049725479260383
KRW-HIVE,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0129935106131585,0.0062113383727873
